Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,24,1,Some Random Commen with Id 0
1,0,5,182,5,Some Random Commen with Id 1
2,0,5,91,0,Some Random Commen with Id 2
3,0,5,39,8,Some Random Commen with Id 3
4,0,5,67,3,Some Random Commen with Id 4
5,0,5,67,1,Some Random Commen with Id 5
6,0,5,60,0,Some Random Commen with Id 6
7,0,5,181,1,Some Random Commen with Id 7
8,1,4,136,7,Some Random Commen with Id 8
9,2,1,56,4,Some Random Commen with Id 9
10,2,1,55,7,Some Random Commen with Id 10
11,2,1,40,1,Some Random Commen with Id 11
12,3,2,131,3,Some Random Commen with Id 12
13,3,2,32,6,Some Random Commen with Id 13
14,3,2,198,3,Some Random Commen with Id 14
15,3,2,134,1,Some Random Commen with Id 15
16,3,2,114,1,Some Random Commen with Id 16
17,3,2,67,7,Some Random Commen with Id 17
18,3,2,143,2,Some Random Commen with Id 18
19,3,2,89,3,Some Random Commen with Id 19
20,3,2,140,5,Some Random Commen with Id 20
21,4,3,52,4,Some Random Commen with Id 21
22,4,3,91,0,Some Random Commen with Id 22
23,5,4,14,0,Some Random Commen with Id 23
24,5,4,21,6,Some Random Commen with Id 24
25,5,4,175,1,Some Random Commen with Id 25
26,5,4,158,6,Some Random Commen with Id 26
27,5,4,62,7,Some Random Commen with Id 27
28,5,4,70,7,Some Random Commen with Id 28
29,5,4,45,6,Some Random Commen with Id 29
30,5,4,189,8,Some Random Commen with Id 30
31,5,4,10,7,Some Random Commen with Id 31
32,6,7,123,3,Some Random Commen with Id 32
33,6,7,45,7,Some Random Commen with Id 33
34,6,7,33,0,Some Random Commen with Id 34
35,6,7,145,9,Some Random Commen with Id 35
36,6,7,61,7,Some Random Commen with Id 36
37,6,7,95,0,Some Random Commen with Id 37
38,7,0,164,1,Some Random Commen with Id 38
39,7,0,149,8,Some Random Commen with Id 39
40,7,0,141,1,Some Random Commen with Id 40
41,7,0,48,1,Some Random Commen with Id 41
42,8,0,75,4,Some Random Commen with Id 42
43,8,0,132,2,Some Random Commen with Id 43
44,8,0,101,0,Some Random Commen with Id 44
45,8,0,144,4,Some Random Commen with Id 45
46,9,3,147,0,Some Random Commen with Id 46
47,9,3,173,9,Some Random Commen with Id 47
48,9,3,61,2,Some Random Commen with Id 48
49,9,3,23,5,Some Random Commen with Id 49
50,9,3,26,3,Some Random Commen with Id 50
51,9,3,13,5,Some Random Commen with Id 51
52,10,7,45,3,Some Random Commen with Id 52
53,10,7,180,3,Some Random Commen with Id 53
54,10,7,184,4,Some Random Commen with Id 54
55,11,8,92,5,Some Random Commen with Id 55
56,11,8,148,9,Some Random Commen with Id 56
57,11,8,183,4,Some Random Commen with Id 57
58,11,8,139,3,Some Random Commen with Id 58
59,11,8,156,5,Some Random Commen with Id 59
60,12,1,138,9,Some Random Commen with Id 60
61,12,1,194,6,Some Random Commen with Id 61
62,14,6,69,9,Some Random Commen with Id 62
